Contact_Radius_Length,Contact_Radius_Width,Average_Chip_1,Stress_Contact_1,Stress_Contact_2,Stress_Metal_1,Stress_Metal_2,Total_Strain_Contact_1,Total_Strain_Contact_2,Total_Strain_Metal_1,Total_Strain_Metal_2,Total_Displacement_Contact_1,Total_Displacement_Contact_2,Total_Displacement_Metal_1,Total_Displacement_Metal_2
0.1065,0.03653112,149.76419996620217,161.21817513374216,4.634319617536818e-08,165.45485221340581,1.8785948930432592e-08,0.0021328470331361386,1.67037230201853e-12,0.0021959801513942645,6.920150491779911e-13,0.0010690791554704927,1.5715052694040385e-14,0.0009591660008147184,3.476274504916914e-14
0.0945,0.032414938,149.77120159231683,160.10534694625218,4.762297998198456e-08,165.46344995549876,1.9080442715179224e-08,0.002118472986812355,1.7683765915933705e-12,0.0021957454182426565,7.973789784490672e-13,0.0010683681852282727,2.6728634913976734e-14,0.0009592121190452146,3.5047626700142924e-14
0.0885,0.030356846,149.77547106243014,159.19612256114195,3.95958493587421e-08,165.4689530569343,1.8876419469756526e-08,0.002104469018146957,1.4001292203649827e-12,0.0021956026531565515,7.132167530431341e-13,0.0010682482135594463,2.2689379716658152e-14,0.0009592461145167473,3.329936529161979e-14
0.0855,0.029327801,149.7775399815818,158.36818941801226,4.755151934952393e-08,165.4717565292224,1.951702103957524e-08,0.0020928845885209734,1.5630032116447156e-12,0.002195524731878065,8.08363504206874e-13,0.0010677648922217148,2.6093299530455125e-14,0.0009592607447109399,3.707980950091069e-14
0.0825,0.028298755,149.77960283276246,157.60633797286326,4.148697903078669e-08,165.47410289912924,1.9138266318608612e-08,0.0020834779780932082,1.5073563268022279e-12,0.0021954482899276683,7.564267971665731e-13,0.0010679907940524978,1.898283727283614e-14,0.0009592841564763899,3.4982024055289085e-14
0.0795,0.02726971,149.7814452921888,155.56447242650418,5.224913342375759e-08,165.47728138002213,1.7824643272797712e-08,0.002053981165066185,1.8163449855007933e-12,0.0021954835503889573,7.067753044410307e-13,0.001067049804935692,2.1112267598653705e-14,0.0009593025567779727,3.390626839709073e-14
0.0765,0.026240664,149.78369704260803,154.7206109673852,5.7138125390819316e-08,165.4791217491211,1.7842969330202063e-08,0.002045036553027697,1.8185986119767143e-12,0.00219529131639996,7.094698788113185e-13,0.001067467987503146,2.287455619286301e-14,0.0009593261506689393,3.3876212758665383e-14
0.2295,0.078721992,141.00340554845116,154.22657307297158,4.385764239544487e-08,150.12836405974815,1.7951590916820322e-08,0.0020419287760212275,1.441959882256102e-12,0.0019953270124397128,6.886339496357742e-13,0.0009839641445553457,1.7281006683350644e-14,0.000871600889971901,3.229582699710192e-14
0.22875,0.07846473,141.0035369416045,155.08894490315654,4.970314251285331e-08,150.13043738984572,1.847298028162516e-08,0.0020546092173846296,1.6419567172669331e-12,0.0019954235849963245,7.537664954395918e-13,0.0009837027058947128,2.387950414896349e-14,0.0008715862591762019,3.449674947612765e-14
0.228,0.078207469,141.00377238903584,155.09099525790938,4.370558780191151e-08,150.1324798453622,1.7965868907015692e-08,0.0020545243420187786,1.5288788850508454e-12,0.001995465662715131,6.952022195854732e-13,0.0009836306590981286,2.5986440810306255e-14,0.0008715765525360967,3.306458034469175e-14
0.22725,0.077950207,141.0039753385471,155.0901758737195,4.127269989184783e-08,150.13445888365308,1.8899930888312563e-08,0.002054411089016392,1.425542093929887e-12,0.0019955085273172524,7.633540449035809e-13,0.0009835607461896579,1.7877043923001784e-14,0.0008715668470164834,3.5512319443114496e-14
0.2265,0.077692946,141.00411997460287,155.08839215483286,4.7648950537095144e-08,150.13626560225862,1.8384136873342037e-08,0.002054348864034671,1.5542467306293737e-12,0.0019955487546498693,7.162355850229861e-13,0.0009834998860040805,2.9213989379208906e-14,0.0008715578661663083,3.666863055616855e-14
0.22575,0.077435685,141.00426619493228,155.1089682211006,4.449105751390801e-08,150.13813997438766,1.9399990987142128e-08,0.0020545829488314276,1.5256964138066144e-12,0.001995592846414276,7.969758630359836e-13,0.0009834440943231944,2.066584274942477e-14,0.0008715491325403026,3.6973594048245195e-14
0.225,0.077178423,141.00441384720128,155.1073434201437,3.7029999607996085e-08,150.139992178388,1.5812028466633956e-08,0.002054509170515747,1.314892326115447e-12,0.0019956372346745604,6.222402815044287e-13,0.000983373392112272,2.3115233219890525e-14,0.0008715402431130608,3.282014068501252e-14
